numeric_id_1,numeric_id_2
11,4
11,27
11,70
11,80
11,112
11,154
11,187
11,200
11,220
11,256
11,289
11,302
11,333
11,341
11,368
11,395
11,407
11,420
11,570
11,589
11,613
11,624
11,876
11,988
11,989
85,117
85,323
85,454
85,476
85,603
85,730
85,800
85,866
85,930
116,53
116,77
116,100
116,108
116,114
116,125
116,130
116,132
116,155
116,158
116,160
116,165
116,171
116,223
116,224
116,230
116,240
116,247
116,261
116,266
116,274
116,279
116,282
116,286
116,292
116,304
116,305
116,308
116,362
116,363
116,385
116,394
116,405
116,412
116,455
116,456
116,457
116,463
116,464
116,466
116,499
116,502
116,516
116,521
116,528
116,528
116,529
116,530
116,555
116,558
116,613
116,620
116,621
116,625
116,635
116,638
116,734
116,736
116,743
116,759
116,761
116,763
116,765
116,770
116,772
116,778
116,790
116,796
116,801
116,836
116,839
116,851
116,858
116,887
116,889
116,891
116,895
116,908
116,912
116,932
116,938
116,941
116,941
116,950
116,953
116,956
116,961
116,965
116,986
116,995
152,121
152,145
152,167
152,300
152,308
152,352
152,361
152,387
152,398
152,404
152,486
152,487
152,502
152,555
152,567
152,588
152,610
152,623
152,672
152,682
152,697
152,701
152,760
152,780
152,799
152,834
152,865
152,891
152,925
152,953
152,964
196,20
196,97
196,300
196,303
196,340
196,378
196,403
196,430
196,486
196,499
196,547
196,589
196,602
196,680
196,722
196,723
196,728
196,841
196,966
373,36
373,102
373,128
373,147
373,150
373,151
373,154
373,165
373,212
373,254
373,272
373,322
373,323
373,326
373,354
373,362
373,365
373,406
373,418
373,422
373,440
373,506
373,511
373,534
373,557
373,610
373,610
373,623
373,624
373,634
373,637
373,651
373,693
373,694
373,713
373,716
373,729
373,742
373,750
373,776
373,789
373,807
373,831
373,831
373,878
373,900
373,927
373,960
373,961
373,980
373,989
373,994
495,116
495,167
495,362
495,385
495,455
495,608
495,620
495,646
495,686
495,693
495,765
495,782
495,788
495,854
585,42
585,115
585,300
585,345
585,417
585,597
585,851
585,910
585,948
627,10
627,49
627,79
627,125
627,140
627,150
627,180
627,300
627,320
627,355
627,370
627,399
627,407
627,450
627,531
627,601
627,626
627,708
627,721
627,781
627,960
714,15
714,20
714,89
714,220
714,300
714,314
714,540
714,662
714,823
714,911
796,112
796,119
796,131
796,143
796,191
796,222
796,261
796,400
796,403
796,437
796,490
796,506
796,530
796,565
796,636
796,821
796,872
796,986
